DATETIME, TEMP-INTERNA, TEMP-EXTERNA, TEMP-REFERENCIA, ACIONAMENTO-ATUADOR(%)
23-03-2021-10:48:00,20.249023,25.889999,31.000000,100
23-03-2021-10:48:02,19.765625,25.799999,31.000000,89
23-03-2021-10:48:05,18.959961,25.790001,31.000000,100
23-03-2021-10:48:07,18.959961,25.799999,31.000000,100
23-03-2021-10:48:09,19.819336,25.799999,31.000000,100
23-03-2021-10:48:12,19.980469,25.809999,31.000000,100
23-03-2021-10:48:14,20.302734,25.809999,31.000000,100
23-03-2021-10:48:16,20.302734,25.799999,31.000000,100
23-03-2021-10:48:19,20.786133,25.799999,31.000000,100
23-03-2021-10:48:21,21.269531,25.809999,31.000000,100
23-03-2021-10:48:23,20.786133,25.809999,31.000000,100
23-03-2021-10:48:26,20.410156,25.820000,31.000000,100
23-03-2021-10:48:28,20.678711,25.820000,31.000000,100
23-03-2021-10:48:30,20.732422,25.809999,31.000000,100
23-03-2021-10:48:33,20.786133,25.830000,31.000000,100
23-03-2021-10:48:35,20.893555,25.830000,31.000000,100
23-03-2021-10:48:37,20.786133,25.840000,31.000000,100
23-03-2021-10:48:40,20.087891,25.840000,31.000000,100
23-03-2021-10:48:42,20.410156,25.860001,31.000000,100
23-03-2021-10:48:44,21.000977,25.850000,31.000000,100
23-03-2021-10:48:47,21.914062,25.860001,31.000000,100
23-03-2021-10:48:49,22.504883,25.860001,31.000000,100
23-03-2021-10:48:51,23.095703,25.870001,31.000000,100
23-03-2021-10:48:54,23.364258,25.870001,31.000000,100
23-03-2021-10:48:56,23.041992,25.879999,31.000000,100
23-03-2021-10:48:58,23.579102,25.879999,31.000000,100
23-03-2021-10:49:01,25.136719,25.879999,31.000000,74
23-03-2021-10:49:03,25.297852,25.900000,31.000000,100
23-03-2021-10:49:05,25.297852,25.900000,31.000000,100
23-03-2021-10:49:08,25.458984,25.889999,31.000000,100
23-03-2021-10:49:10,24.975586,25.900000,31.000000,100
23-03-2021-10:49:12,25.029297,25.900000,35.000000,100
23-03-2021-10:49:15,25.512695,25.910000,35.000000,100
23-03-2021-10:49:17,25.083008,25.900000,35.000000,100
23-03-2021-10:49:20,25.888672,25.920000,35.000000,100
23-03-2021-10:49:22,26.425781,25.920000,35.000000,100
23-03-2021-10:49:24,26.586914,25.920000,35.000000,100
23-03-2021-10:49:27,26.748047,25.910000,35.000000,100
23-03-2021-10:49:29,29.702148,25.930000,35.000000,-5
23-03-2021-10:49:31,29.379883,25.940001,35.000000,100
23-03-2021-10:49:34,31.313477,25.930000,35.000000,50
23-03-2021-10:49:36,29.594727,25.950001,35.000000,100
23-03-2021-10:49:38,31.098633,25.959999,35.000000,100
23-03-2021-10:49:41,32.280273,25.950001,35.000000,100
23-03-2021-10:49:43,32.441406,25.959999,35.000000,100
23-03-2021-10:49:45,33.139648,25.959999,35.000000,100
23-03-2021-10:49:48,33.999023,25.959999,35.000000,80
23-03-2021-10:49:50,33.085938,25.969999,35.000000,100
23-03-2021-10:49:52,33.461914,25.980000,35.000000,94
23-03-2021-10:49:55,33.999023,25.980000,35.000000,86
23-03-2021-10:49:57,34.858398,25.980000,35.000000,100
23-03-2021-10:49:59,35.878906,25.990000,35.000000,93
23-03-2021-10:50:02,36.845703,26.020000,35.000000,85
23-03-2021-10:50:04,38.671875,26.020000,35.000000,87
23-03-2021-10:50:06,38.564453,26.030001,35.000000,65
23-03-2021-10:50:09,38.081055,26.030001,35.000000,74
23-03-2021-10:50:11,39.477539,26.020000,35.000000,-6
23-03-2021-10:50:13,40.336914,26.030001,35.000000,27
23-03-2021-10:50:16,40.981445,26.020000,35.000000,12
23-03-2021-10:50:18,40.874023,26.030001,35.000000,1
23-03-2021-10:50:20,39.638672,26.040001,35.000000,18
23-03-2021-10:50:23,40.229492,26.040001,35.000000,-35
23-03-2021-10:50:25,40.014648,26.049999,35.000000,-16
23-03-2021-10:50:27,41.464844,26.040001,35.000000,-93
23-03-2021-10:50:30,41.894531,26.049999,35.000000,-58
23-03-2021-10:50:32,43.774414,26.040001,35.000000,-85
23-03-2021-10:50:34,43.344727,26.040001,35.000000,-100
23-03-2021-10:50:37,43.183594,26.059999,35.000000,-75
23-03-2021-10:50:39,43.720703,26.059999,35.000000,-100
23-03-2021-10:50:41,42.807617,26.059999,35.000000,-100
23-03-2021-10:50:44,43.129883,26.070000,35.000000,-100
23-03-2021-10:50:46,43.022461,26.070000,35.000000,-100
23-03-2021-10:50:49,42.163086,26.080000,35.000000,-100
23-03-2021-10:50:51,42.485352,26.080000,35.000000,-100
23-03-2021-10:50:53,40.659180,26.080000,35.000000,-100
23-03-2021-10:50:56,39.477539,26.070000,35.000000,-81
23-03-2021-10:50:58,40.605469,26.070000,35.000000,-100
23-03-2021-10:51:00,40.498047,26.070000,35.000000,-100
23-03-2021-10:51:03,42.055664,26.080000,35.000000,-100
23-03-2021-10:51:05,42.646484,26.059999,35.000000,-100
23-03-2021-10:51:07,43.237305,26.059999,35.000000,-100
23-03-2021-10:51:10,41.948242,26.059999,35.000000,-100
23-03-2021-10:51:12,39.799805,26.049999,35.000000,-100
23-03-2021-10:51:14,39.960938,26.059999,35.000000,-100
23-03-2021-10:51:17,39.155273,26.059999,35.000000,-92
23-03-2021-10:51:19,38.671875,26.059999,35.000000,-100
23-03-2021-10:51:21,38.242188,26.059999,35.000000,-100
23-03-2021-10:51:24,39.262695,26.059999,35.000000,-100
23-03-2021-10:51:26,38.564453,26.049999,35.000000,-100
23-03-2021-10:51:28,37.436523,26.059999,35.000000,-99
23-03-2021-10:51:31,37.919922,26.059999,35.000000,-100
23-03-2021-10:51:33,38.510742,26.070000,35.000000,-100
23-03-2021-10:51:35,38.295898,26.070000,35.000000,-100
23-03-2021-10:51:38,38.295898,26.070000,35.000000,-100
23-03-2021-10:51:40,38.027344,26.040001,35.000000,-100
23-03-2021-10:51:42,38.671875,26.030001,35.000000,-100
23-03-2021-10:51:45,38.994141,26.010000,35.000000,-100
23-03-2021-10:51:47,38.457031,26.010000,35.000000,-98
23-03-2021-10:51:49,38.027344,26.020000,35.000000,-100
23-03-2021-10:51:52,36.093750,26.020000,35.000000,-37
23-03-2021-10:51:54,36.254883,26.010000,35.000000,-100
23-03-2021-10:51:56,36.738281,26.020000,35.000000,-100
23-03-2021-10:51:59,37.221680,26.020000,35.000000,-100
23-03-2021-10:52:01,37.382812,26.020000,35.000000,-100
23-03-2021-10:52:03,38.349609,26.010000,35.000000,-100
23-03-2021-10:52:06,37.436523,26.030001,35.000000,-80
23-03-2021-10:52:08,38.188477,26.040001,35.000000,-100
23-03-2021-10:52:10,37.060547,26.030001,35.000000,-100
23-03-2021-10:52:13,36.738281,26.040001,35.000000,-100
23-03-2021-10:52:15,35.825195,26.040001,35.000000,-100
23-03-2021-10:52:18,35.932617,26.040001,35.000000,-99
23-03-2021-10:52:20,36.899414,26.040001,35.000000,-100
23-03-2021-10:52:22,36.845703,26.049999,35.000000,-100
23-03-2021-10:52:25,36.201172,26.049999,35.000000,-83
23-03-2021-10:52:27,35.073242,26.040001,35.000000,-100
23-03-2021-10:52:29,34.965820,26.040001,35.000000,-99
23-03-2021-10:52:32,35.395508,26.040001,35.000000,-100
23-03-2021-10:52:34,34.589844,26.040001,35.000000,-97
23-03-2021-10:52:36,34.267578,26.040001,35.000000,-92
23-03-2021-10:52:39,34.428711,26.040001,35.000000,-99
23-03-2021-10:52:41,34.912109,26.030001,35.000000,-100
23-03-2021-10:52:43,35.234375,26.040001,35.000000,-100
23-03-2021-10:52:46,35.502930,26.040001,35.000000,-99
23-03-2021-10:52:48,34.482422,26.040001,35.000000,-93
23-03-2021-10:52:50,33.461914,26.040001,35.000000,-85
23-03-2021-10:52:53,33.085938,26.040001,35.000000,-73
23-03-2021-10:52:55,33.085938,26.040001,35.000000,-75
23-03-2021-10:52:57,33.085938,26.059999,35.000000,-71
23-03-2021-10:53:00,33.247070,26.040001,35.000000,-74
23-03-2021-10:53:02,33.515625,26.049999,35.000000,-67
23-03-2021-10:53:04,33.515625,26.040001,35.000000,-64
23-03-2021-10:53:07,32.602539,26.049999,35.000000,-55
23-03-2021-10:53:09,31.796875,26.040001,35.000000,-17
23-03-2021-10:53:11,32.871094,26.020000,35.000000,-83
23-03-2021-10:53:14,33.193359,26.030001,35.000000,-54
23-03-2021-10:53:16,33.837891,26.030001,35.000000,-66
23-03-2021-10:53:18,33.515625,26.030001,35.000000,-38
23-03-2021-10:53:21,33.193359,26.030001,35.000000,-33
23-03-2021-10:53:23,32.548828,26.020000,63.000000,100
23-03-2021-10:53:25,31.904297,26.030001,63.000000,100
